id,type,strike_price,expiry
TXN-97f266db,short call,21740,2024-01-04
TXN-a73954ff,long call,21740,2024-01-25
TXN-16011760,short call,21740,2024-01-04
TXN-46a1465f,short call,21510,2024-01-11
TXN-f313694f,short call,21510,2024-01-11
TXN-7f1da741,short call,22100,2024-01-18
TXN-39870113,short call,22100,2024-01-18
TXN-9b4d2d42,short call,21240,2024-01-25
TXN-f5a0e60f,long call,21740,2024-01-25
TXN-c489447e,long call,21350,2024-02-22
TXN-10ba7456,short call,21240,2024-01-29
TXN-3352fabf,short call,21740,2024-02-01
